CT&人力配置汇总表,,,,,,,,,,,,,,,,,,,,,,,,
P/N,Line,Assembly Line,,,Piston,,,Cartridge,,,Washing Machine,,,MGU,,,AA,,Customer,Statistic Group,Vehicle,Channel,Product Description,
,,CT,OP,Machine Station,CT,OP,Machine Station,CT,OP,Machine Station,CT,OP,Machine Station,CT,OP,Machine Station,CT,OP,,,,,,
02047988545P0,Line3,17,15,24,,,,,,,2.8,1,1,,,,,,Peugeot,ZOHe+APB-Mi gen1,T91,OEM,?38 (268x12) Cast Iron,
02047988555P0,Line3,17,15,24,,,,,,,2.8,1,1,,,,,,Peugeot,ZOHe+APB-Mi gen1,T91,OEM,?38 (268x12) Cast Iron,
BP16WH0001001,Line2,13,19,22,,,,,,,,,,,,,,,Citroen,ZOHe,TX9,OEM,?57(283x26) Cast Iron,
BP16WH0001002,Line2,13,19,22,,,,,,,,,,,,,,,Citroen,ZOHe,TX9,OEM,?57(283x26) Cast Iron,
0204L68905,Line3,17,15,24,,,,,,,2.8,1,1,18,7,13,,,Peugeot,ZOHe+APB-Mi gen2,TX9,OEM,?42 (308x12) Cast Iron,
0204L68906,Line3,17,15,24,,,,,,,2.8,1,1,18,7,13,,,Peugeot,ZOHe+APB-Mi gen2,TX9,OEM,?42 (308x12) Cast Iron,
0204L68906,Line3,17,15,24,,,,,,,2.8,1,1,18,7,13,,,Peugeot,ZOHe+APB-Mi gen2,TX9,OEM,?42 (308x12) Cast Iron,
0204L68921,Line3,17,15,24,,,,,,,2.8,1,1,18,7,13,,,Citroen,ZOHe+APB-Mi gen2,X81,OEM,?42 (308x12) Cast Iron,
0204L68922,Line3,17,15,24,,,,,,,2.8,1,1,18,7,13,,,Citroen,ZOHe+APB-Mi gen2,X81,OEM,?42 (308x12) Cast Iron,
0204L76765,Line3,17,15,24,,,,,,,2.8,1,1,18,7,13,,,DS,ZOHe+APB-Mi gen2,B751,OEM,?38 (290x12) ,
0204L76765,Line3,17,15,24,,,,,,,2.8,1,1,18,7,13,,,DS,ZOHe+APB-Mi gen2,B751,OEM,?38 (290x12) ,
0204L76765,Line3,17,15,24,,,,,,,2.8,1,1,18,7,13,,,DS,ZOHe+APB-Mi gen2,B751,OEM,?38 (290x12) ,
0204L76765,Line3,17,15,24,,,,,,,2.8,1,1,18,7,13,,,DS,ZOHe+APB-Mi gen2,B751,OEM,?38 (290x12) ,
0204L60848,MGU1,,,,,,,,,,,,,18,7,3,,,GWM,MGU,CHB031,OEM,,
0204L71549,Line3,17,15,24,,,,,,,2.8,1,1,,,,,,Haima,ZOHe+APB-Mi gen1,VB00,OEM,?38 Cast Iron,
0204L71550,Line3,17,15,24,,,,,,,2.8,1,1,,,,,,Haima,ZOHe+APB-Mi gen1,VB00,OEM,?38 Cast Iron,
204804480,Line1,14,22,27,,,,,,,,,,,,,,,JMC,ZOH,N330 SUV,OEM,?57 (292x26) Cast Iron,
204804481,Line1,14,22,27,,,,,,,,,,,,,,,JMC,ZOH,N330 SUV,OEM,?57 (292x26) Cast Iron,
0204L60899,Line1,10,22,30,16,2,1,14,2,1,14,1,1,,,,,,JMC,ZOH+BIR3,N330 SUV,OEM,?38 (284x9) Cast Iron,
0204L60900,Line1,10,22,30,16,2,1,14,2,1,14,1,1,,,,,,JMC,ZOH+BIR3,N330 SUV,OEM,?38 (284x9) Cast Iron,
0204L67133,Line3,17,15,24,,,,,,,2.8,1,1,,,,,,JMC,ZOHe+APB-Mi 38 (268*12) Cast Iron gen1,N330 SUV,OEM,,
0204L67134,Line3,17,15,24,,,,,,,2.8,1,1,,,,,,JMC,ZOHe+APB-Mi 38 (268*12) Cast Iron gen1,N330 SUV,OEM,,
0204L65474,Line1,14,22,27,,,,,,,,,,,,,,,Ford,ZOH,V362,OEM,?48x2 (300x28) Cast Iron,
0204L65475,Line1,14,22,27,,,,,,,,,,,,,,,Ford,ZOH,V362,OEM,?48x2 (300x28) Cast Iron,
0204L65476,Line1,14,22,27,,,,,,,,,,,,,,,Ford,ZOH,V362,OEM,?48x2 (300x28) Cast Iron,
0204L65477,Line1,14,22,27,,,,,,,,,,,,,,,Ford,ZOH,V362,OEM,?48x2 (300x28) Cast Iron,
0204L65522,Line1,14,22,27,,,,,,,,,,,,,,,Ford,ZOH,V362,OEM,?48x2 (300x28) Cast Iron,
0204L65523,Line1,14,22,27,,,,,,,,,,,,,,,Ford,ZOH,V362,OEM,?48x2 (300x28) Cast Iron,
0204L66072,Line1,14,23,30,16,2,1,14,2,1,14,1,1,,,,,,Ford,ZOH+BIR3plus (15''),V362,OEM,?48 (280x16) Cast Iron,
0204L66073,Line1,14,23,30,16,2,1,14,2,1,14,1,1,,,,,,Ford,ZOH+BIR3plus (15''),V362,OEM,?48 (280x16) Cast Iron,
0204L66089,Line1,14,23,30,16,2,1,,,,,,,,,,,,Ford,ZOH+BIR3plus (16''),V362,OEM,?48 (280x16) Cast Iron,
0204L66090,Line1,14,23,30,16,2,1,,,,,,,,,,,,Ford,ZOH+BIR3plus (16''),V362,OEM,?48 (280x16) Cast Iron,
0204L78273,Line3,17,15,24,,,,,,,2.8,1,1,18,7,13,,,DFM,APB-Mi 38 Gen2,S50,OEM,,
0204L78274,Line3,17,15,24,,,,,,,2.8,1,1,18,7,13,,,DFM,APB-Mi 38 Gen2,S50,OEM,,
0204L77955,Line3,17,15,24,,,,,,,2.8,1,1,,,,,,DFM,ZOH 54 (296*28) Cast Iron,S500,OEM,,
0204L77956,Line3,17,15,24,,,,,,,2.8,1,1,,,,,,DFM,ZOH 54 (296*28) Cast Iron,S500,OEM,,
